uid,email,age,product_name,product_type,quantity,purchase_price,purchase_date,purchase_address,long,lat
pamwi4vgfn2flrweia4ns2alnmff,3v311@gmail.com,22.0,LEMNRL AIR600ML,minuman sehat,3,3700.0,2024-08-12,,110.436096837521,-0.773708302926337
aocoaouae82a2n4njs23s5la63b3,smjmc@gmail.com,26.0,INDOMIE RDG 91G,makanan pokok,2,3100.0,2024-03-24,,110.437491151354,-0.772454671451071
0zeaaai29i3737vq10oj4wlwbsc8,4k7dd@gmail.com,47.0,GG SURYA 12,produk dewasa,2,27200.0,2024-03-30,,110.434090295174,-0.773913791686727
94plj3fnifeu7vfeewcte1phij5y,b3elr@gmail.com,55.0,KANZER BAKSO HOT 55G,makanan gurih,3,9000.0,2024-10-12,,110.434645267531,-0.774174490027862
gkq0rsrqluty56kutfgcoexfmf76,pzdj7@gmail.com,17.0,CHUPA GUM FR11G,makanan manis,2,5500.0,2024-01-02,,110.43530934372,-0.772163884223935
m5abav66glikph7l6dd5dpvsk7tu,vhx40@gmail.com,18.0,GG SURYA CKT16,produk dewasa,3,36700.0,2024-10-19,,110.436186846121,-0.773173197101919
d7itim1uqngjk5gf881sh59wh2x3,umak9@gmail.com,58.0,CCBB STR STK 5S,makanan gurih,3,16800.0,2024-03-09,,110.434002423248,-0.773646351551515
aocoaouae82a2n4njs23s5la63b3,smjmc@gmail.com,26.0,ICHITAN MLK BRWN 300,minuman manis,3,9900.0,2024-02-07,,110.43464966214,-0.774455590423859
i4f9dghptxzvfvmbqzznu1479xxe,a8mh4@gmail.com,24.0,CHUPA BELT 8G,makanan manis,4,3000.0,2024-01-11,,110.436731896716,-0.772539819852446
gksvu1ysvmys8tn75gcevwb9ntlv,dqw5a@gmail.com,40.0,OREO ORIGINAL 119.5G,makanan manis,4,10000.0,2024-09-29,,110.436934758349,-0.773220193796895
25ydozrmz5evh0ulljb3e7aluhnn,aaex2@gmail.com,39.0,S.BRD TA CHOCO FLAT,makanan manis,4,10000.0,2024-09-13,,110.435319975988,-0.773128898297601
kxt4zhpmw9541v9e9a6a0s770r5o,35j1x@gmail.com,31.0,RTE ONGR AY PDS,makanan gurih,2,10000.0,2024-09-16,,110.435733319601,-0.772596506037833
ydicxxezpopgwztsf2rhx3ito7wm,jxtcn@gmail.com,18.0,NIPISMADU 330ML,minuman manis,4,3900.0,2024-02-26,,110.435302552027,-0.772194001098109
6wtz0wtxonv5hukq3vq4l3c278ve,vaqyk@gmail.com,54.0,KANZER BAKSO HOT 55G,makanan gurih,1,9000.0,2024-08-16,,110.436899577143,-0.773446936538959
x5s1tvrt9eisxillo73kgsq8jpiw,mmd4d@gmail.com,16.0,RTE ONGR AY PDS,makanan gurih,1,10000.0,2024-04-07,,110.434051077904,-0.772382330842401
jljk74mpvc5jieq4ze3flwrt8yot,nnmd3@gmail.com,25.0,INDOMIE RDG 91G,makanan pokok,2,3100.0,2024-12-20,,110.436982325829,-0.772954563215422
5qnoytiyjqih5rv99mnwctq6n27t,whbfo@gmail.com,16.0,OREO ORIGINAL 119.5G,makanan manis,2,10000.0,2024-03-22,,110.435498539497,-0.773289620512624
e7lwzpqywdlsu75v0oz4zipe2kou,q6lre@gmail.com,28.0,CCBB STR STK 5S,makanan gurih,2,16800.0,2024-02-23,,110.435990408694,-0.772933879922398
842uk8dmirxl4rxwl5s6m6boautu,9fz2v@gmail.com,50.0,POKKA GRN TEA NS 450,minuman sehat,3,10200.0,2024-08-18,,110.435134059859,-0.773409491717754
842uk8dmirxl4rxwl5s6m6boautu,9fz2v@gmail.com,50.0,GG SURYA 12,produk dewasa,1,27200.0,2024-03-25,,110.437291182555,-0.772142681692639
q05g8vwfj98zwvz4vcduuxshs78j,hfxlf@gmail.com,51.0,SR TWR SPC,makanan pokok,3,15000.0,2024-12-03,,110.436988111901,-0.772197640863188
lgf2wkxftoxa4aip44rbhyyd7lks,ygbx4@gmail.com,55.0,GG SURYA 12,produk dewasa,1,27200.0,2024-01-26,,110.435026808834,-0.773266008420918
y9125ul5wsjatspzrfovvg68p9u9,bonlg@gmail.com,46.0,ICHITAN MLK BRWN 300,minuman manis,4,9900.0,2024-05-15,,110.4348539611,-0.774148035627695
14qezcf3sybmsfooo6bg6xt5byff,ulfqi@gmail.com,25.0,AQUA AIR MINERAL 600,minuman sehat,1,3500.0,2024-06-21,,110.434163317124,-0.772218803719834
2ujmagarrrn00a32fdzg9ydom0c3,ua2cs@gmail.com,57.0,SR TWR SPC,makanan pokok,4,15000.0,2024-11-08,,110.435763439257,-0.773030442414318
gksvu1ysvmys8tn75gcevwb9ntlv,dqw5a@gmail.com,40.0,KUSUKA LH 60G,makanan gurih,2,6500.0,2024-05-08,,110.435586503655,-0.772118069916925
1mr9rc8su3g6493m0bt07l4ftp4z,ag1ar@gmail.com,26.0,INDF IC RB RD VLT55,makanan pokok,2,4500.0,2024-12-20,,110.436070888847,-0.773499826393135
m5abav66glikph7l6dd5dpvsk7tu,vhx40@gmail.com,18.0,KNZLER SNGLES ORG 65,makanan gurih,2,9000.0,2024-05-22,,110.436486312025,-0.772663927551792
heh59eq0i9p66b2keetfttfx8p6k,lx24z@gmail.com,37.0,S.BRD TA CHOCO FLAT,makanan manis,4,10000.0,2024-06-19,,110.435999135319,-0.773222417352296
3j4yjipbdx5hp30phw2be28hq8hy,f059w@gmail.com,37.0,GD GCPN 250ML,minuman manis,1,7700.0,2024-03-10,,110.433663065132,-0.773315187472343
6wtz0wtxonv5hukq3vq4l3c278ve,vaqyk@gmail.com,54.0,CIMORY BLYC120G,minuman manis,3,8500.0,2024-03-03,,110.435960572173,-0.773263727668179
v0hvneobxnt5h4qp9r3aiwu05w3g,adb2d@gmail.com,40.0,KNZLER SNGLES ORG 65,makanan gurih,3,9000.0,2024-12-12,,110.435724403441,-0.773218024840086
2ujmagarrrn00a32fdzg9ydom0c3,ua2cs@gmail.com,57.0,CHUPA BELT 8G,makanan manis,1,3000.0,2024-08-02,,110.437072787322,-0.773819706378587
pamwi4vgfn2flrweia4ns2alnmff,3v311@gmail.com,22.0,OREO ORIGINAL 119.5G,makanan manis,4,10000.0,2024-07-05,,110.435999235304,-0.774157339537017
fnsi7etywup5uned0u2s1j9m60po,4lb4b@gmail.com,18.0,GG SURYA 12,produk dewasa,2,27200.0,2024-08-30,,110.437033851216,-0.772782671279541
zl8qm1xffy476k5w4aitzvqeaxwy,8bezk@gmail.com,16.0,SQ GREENTEA 22G,makanan manis,1,13400.0,2024-05-10,,110.433957057271,-0.773613767460036
pahle977w7o5yn949h2w4a7ipaku,e536m@gmail.com,17.0,ICHITAN MLK BRWN 300,minuman manis,2,9900.0,2024-10-17,,110.434818268287,-0.773538613320443
gk6y6crohgh7wkidxzvec490udi6,xdte5@gmail.com,26.0,KUSUKA LH 60G,makanan gurih,3,6500.0,2024-05-22,,110.436418011573,-0.772201107511174
78v9qdm9101zuc5kbei4zhx1cvgg,g9lab@gmail.com,50.0,NIPISMADU 330ML,minuman manis,3,3900.0,2024-06-13,,110.436281495995,-0.772897530629693
hjndlyr86db26a84nbi8pepcv2tx,16vtv@gmail.com,56.0,S.BRD TA POLO KEJU,makanan pokok,1,9000.0,2024-08-15,,110.435761836037,-0.77286098820528
26km9x5uo6ry4da6gkgrnhdbai31,b76c7@gmail.com,56.0,CCBB STR STK 5S,makanan gurih,1,16800.0,2024-08-27,,110.434880112313,-0.773609393328649
zmi3b75y9g5fbe58vxr6uk4ylxg8,66ogl@gmail.com,35.0,ULTRA FC 250 ML,minuman manis,2,7500.0,2024-06-15,,110.435071948972,-0.774233103186932
x0wuxrrepw6vpp5ul08hb0ugkpa7,z7k5z@gmail.com,38.0,CHUPA BELT 8G,makanan manis,3,3000.0,2024-03-10,,110.434761723623,-0.773306210503989
lupvky4hklys5b5sikjrd5a3ldut,gnqt7@gmail.com,48.0,FOREST PCH480ML,minuman manis,1,9300.0,2024-11-13,,110.435354717323,-0.773076679537726
kpyk3qgpuefvd4b9h4eszricpdcm,yqj8w@gmail.com,44.0,NIPISMADU 330ML,minuman manis,2,3900.0,2024-10-05,,110.435950192286,-0.773331207386981
vi2nml74gpdbne8xee91iyvsaw40,22bg7@gmail.com,39.0,AQUA AIR MINERAL 1500,minuman sehat,4,6600.0,2024-06-22,,110.436229009241,-0.771712184875098
4fzevl9ot4d4qx3r9g4o1uq9foht,nuuek@gmail.com,35.0,GATSBY CLG. D/OCN. 175,personal hygiene,1,22000.0,2024-02-27,,110.435430230429,-0.773182276822714
o4qf9hk10zkcdi0kg46ezlo7w51u,mq7yl@gmail.com,17.0,YUPI NEON 45G,makanan manis,3,5500.0,2024-12-11,,110.43623816122,-0.77229431124613
wso4if5wvizwn3gklu4dq2d3b7y4,o2j5l@gmail.com,53.0,GD GCPN 250ML,minuman manis,1,7700.0,2024-08-13,,110.435928896605,-0.774191269641787
pahle977w7o5yn949h2w4a7ipaku,e536m@gmail.com,17.0,GD GCPN 250ML,minuman manis,4,7700.0,2024-11-11,,110.437219335355,-0.773401388490082
p8nnx389wwdrmjalfz0uwc09sbtz,sk41n@gmail.com,56.0,KNZLER SNGLES ORG 65,makanan gurih,1,9000.0,2024-07-08,,110.434665034662,-0.773891178690207
mj50w5tx6lj047iy84e67l2w609b,ayidb@gmail.com,25.0,RTE ONGR AY PDS,makanan gurih,1,10000.0,2024-02-22,,110.437432419272,-0.772774098118094
i4f9dghptxzvfvmbqzznu1479xxe,a8mh4@gmail.com,24.0,ULTRA FC 250 ML,minuman manis,1,7500.0,2024-06-27,,110.435788731286,-0.773133233044076
94plj3fnifeu7vfeewcte1phij5y,b3elr@gmail.com,55.0,KNZLR SGL GJ65G,makanan gurih,2,8900.0,2024-05-13,,110.435188553949,-0.772167188757128
vi2nml74gpdbne8xee91iyvsaw40,22bg7@gmail.com,39.0,MD ALMOND RING,makanan manis,3,7500.0,2024-08-20,,110.433996031924,-0.773608979511444
842uk8dmirxl4rxwl5s6m6boautu,9fz2v@gmail.com,50.0,TESSA FAC LOONEY TP3,personal hygiene,2,7500.0,2024-05-09,,110.43430914597,-0.774105085842141
h7bl25tl25m3tlkejl2l66wt7d3w,op6wj@gmail.com,21.0,KANZER BAKSO HOT 55G,makanan gurih,1,9000.0,2024-09-29,,110.433847994042,-0.773608210644529
73xxdxazt7g6vanswiujv3bnbbtg,t5bq5@gmail.com,18.0,KNZLER SNGLES ORG 65,makanan gurih,1,9000.0,2024-02-17,,110.434208950381,-0.772757366300243
yc3b5tfmztyxia0hutaet44qe1k8,ai252@gmail.com,53.0,BENG2 SHARE 10S,makanan manis,4,16400.0,2024-10-19,,110.435716679065,-0.77447359432315
zmi3b75y9g5fbe58vxr6uk4ylxg8,66ogl@gmail.com,35.0,B/P MANGGA HARUM MNS,makanan manis,2,10000.0,2024-08-08,,110.437340049984,-0.773187692626317
26km9x5uo6ry4da6gkgrnhdbai31,b76c7@gmail.com,56.0,GD GCPN 250ML,minuman manis,3,7700.0,2024-09-28,,110.434763850673,-0.77395392696313
5ryba8186lg2epoi1sx71m5kalg2,65laz@gmail.com,28.0,ICHITAN MLK BRWN 300,minuman manis,1,9900.0,2024-01-26,,110.435873661929,-0.774021767720193
4djfz17nhpr7oqmy2a3qrkne9s9v,wehjh@gmail.com,48.0,KUSUKA LH 60G,makanan gurih,3,6500.0,2024-09-04,,110.435105963078,-0.772332711285319
ydicxxezpopgwztsf2rhx3ito7wm,jxtcn@gmail.com,18.0,ICHITAN MLK BRWN 300,minuman manis,4,9900.0,2024-05-24,,110.435805056573,-0.773236954116915
vi2nml74gpdbne8xee91iyvsaw40,22bg7@gmail.com,39.0,S.BRD TA CHOCO FLAT,makanan manis,3,10000.0,2024-06-24,,110.434880087003,-0.772717077417575
gkq0rsrqluty56kutfgcoexfmf76,pzdj7@gmail.com,17.0,KNZLR SGL GJ65G,makanan gurih,3,8900.0,2024-01-28,,110.435713302353,-0.773267653124491
p8nnx389wwdrmjalfz0uwc09sbtz,sk41n@gmail.com,56.0,BENG2 SHARE 10S,makanan manis,1,16400.0,2024-04-17,,110.435781969258,-0.772990158934975
pkee6upe4erulwzc8rkjb8wxzelt,e4aq4@gmail.com,35.0,KUSUKA LH 60G,makanan gurih,2,6500.0,2024-07-20,,110.435350184962,-0.773086976808628
zpkfkf8b77gsk0wft62kdrghi4xq,9yqpv@gmail.com,47.0,NIPISMADU 330ML,minuman manis,4,3900.0,2024-08-31,,110.436865221031,-0.773053530012023
n872xpenii4xxqlhgnjnll6xviy6,kwdp2@gmail.com,19.0,KNZLR SGL GJ65G,makanan gurih,2,8900.0,2024-02-26,,110.434862768696,-0.773204008344478
gk6y6crohgh7wkidxzvec490udi6,xdte5@gmail.com,26.0,INDF IC RB RD VLT55,makanan pokok,4,4500.0,2024-04-23,,110.434794904282,-0.773503672707726
tys4ius4051q5y9478lz46zpmsk6,72df4@gmail.com,55.0,NIPISMADU 330ML,minuman manis,1,3900.0,2024-06-24,,110.437156143267,-0.774104557321238
q63zvaex2a4n9elv8cpyq1cnw099,e0v0a@gmail.com,18.0,ULTRA FC 250 ML,minuman manis,2,7500.0,2024-06-24,,110.435604810144,-0.773239848354302
i4f9dghptxzvfvmbqzznu1479xxe,a8mh4@gmail.com,24.0,INDOMIE RDG 91G,makanan pokok,3,3100.0,2024-04-10,,110.434645023797,-0.773309189064802
vi2nml74gpdbne8xee91iyvsaw40,22bg7@gmail.com,39.0,GG SURYA 12,produk dewasa,4,27200.0,2024-04-20,,110.434835615284,-0.772780362793474
vi2nml74gpdbne8xee91iyvsaw40,22bg7@gmail.com,39.0,S.BRD TA CHOCO FLAT,makanan manis,3,10000.0,2024-11-16,,110.436283004848,-0.774167012580542
q05g8vwfj98zwvz4vcduuxshs78j,hfxlf@gmail.com,51.0,TEREA PRPL WAVE 20S,unknown,1,30000.0,2024-01-21,,110.43600064233,-0.773174337221939
pahle977w7o5yn949h2w4a7ipaku,e536m@gmail.com,17.0,KP POLOS,unknown,1,500.0,2024-12-20,,110.435683921859,-0.773312200502667
ydicxxezpopgwztsf2rhx3ito7wm,jxtcn@gmail.com,18.0,AQUA AIR MINERAL 600,minuman sehat,2,3500.0,2024-10-27,,110.434740850145,-0.773568041424888
